code,name,full_pin_yin,pin_yin,country_code
AXF,阿拉善左旗,alashanzuoqi,ALSZQ,CN
HCJ,河池,hechi,HC,CN
YZY,张掖,zhangye,ZY,CN
RKZ,日喀则,rikaze,RKZ,CN
BJS,北京,beijing,BJ,CN
SHA,上海,shanghai,SH,CN
TSN,天津,tianjin,TJ,CN
CKG,重庆,zhongqing,ZQ,CN
HRB,哈尔滨,haerbin,HEB,CN
DLC,大连,dalian,DL,CN
TAO,青岛,qingdao,QD,CN
SIA,西安,xian,XA,CN
DNH,敦煌,dunhuang,DH,CN
NKG,南京,nanjing,NJ,CN
WUX,无锡,wuxi,WX,CN
YTY,扬州,yangzhou,YZ,CN
HGH,杭州,hangzhou,HZ,CN
HSN,舟山,zhoushan,ZS,CN
TXN,黄山,huangshan,HS,CN
JIU,九江,jiujiang,JJ,CN
XMN,厦门,xiamen,XM,CN
WUS,武夷山,wuyishan,WYS,CN
DYG,张家界,zhangjiajie,ZJJ,CN
CTU,成都,chengdou,CD,CN
SZX,深圳,shenzhen,SZ,CN
ZUH,珠海,zhuhai,ZH,CN
CAN,广州,guangzhou,GZ,CN
KWL,桂林,guilin,GL,CN
KMG,昆明,kunming,KM,CN
JHG,西双版纳,xishuangbanna,XSBN,CN
DLU,大理,dali,DL,CN
LJG,丽江,lijiang,LJ,CN
KWE,贵阳,guiyang,GY,CN
URC,乌鲁木齐,wulumuqi,WLMQ,CN
LXA,拉萨,lasa,LS,CN
HAK,海口,haikou,HK,CN
SYX,三亚,sanya,SY,CN
NTG,南通,nantong,NT,CN
JZH,九寨沟,jiuzhaiu,JZG,CN
DIG,迪庆,diqing,DQ,CN
INC,银川,yinchuan,YC,CN
LHW,兰州,lanzhou,LZ,CN
HET,呼和浩特,huhehaote,HHHT,CN
TYN,太原,taiyuan,TY,CN
LZY,林芝,linzhi,LZ,CN
KHG,喀什,kashi,KS,CN
ENY,延安,yanan,YA,CN
XNN,西宁,xining,XN,CN
HZG,汉中,hanzhong,HZ,CN
GOQ,格尔木,geermu,GEM,CN
DAT,大同,datong,DT,CN
CIH,长治,changzhi,CZ,CN
YCU,运城,yuncheng,YC,CN
BAV,包头,baotou,BT,CN
HLD,海拉尔,hailaer,HLE,CN
TNA,济南,jinan,JN,CN
BPE,秦皇岛,qinhuangdao,QHD,CN
NDG,齐齐哈尔,qiqihaer,QQHE,CN
MDG,牡丹江,mudanjiang,MDJ,CN
OHE,漠河,mohe,MH,CN
JXA,鸡西,jixi,JX,CN
CGQ,长春,changchun,CC,CN
JIL,吉林,jilin,JL,CN
KRY,克拉玛依,kelamayi,KLMY,CN
AKA,安康,ankang,AK,CN
AKU,阿克苏,akesu,AKS,CN
AAT,阿勒泰,aletai,ALT,CN
AQG,安庆,anqing,AQ,CN
AOG,鞍山,anshan,AS,CN
AVA,安顺,anshun,AS,CN
BHY,北海,beihai,BH,CN
BSD,保山,baoshan,BS,CN
NBS,长白山,changbaishan,CBS,CN
CGD,常德,changde,CD,CN
CIF,赤峰,chifeng,CF,CN
CSX,长沙,changsha,CS,CN
CHG,朝阳,chaoyang,CY,CN
CZX,常州,changzhou,CZ,CN
DDG,丹东,dandong,DD,CN
DQA,大庆,daqing,DQ,CN
DAX,达州,dazhou,DZ,CN
DOY,东营,dongying,DY,CN
ENH,恩施,enshi,ES,CN
FUO,佛山,foshan,FS,CN
FUG,阜阳,fuyang,FY,CN
FOC,福州,fuzhou,FZ,CN
GYS,广元,guangyuan,GY,CN
KOW,赣州,ganzhou,GZ,CN
HDG,邯郸,handan,HD,CN
HFE,合肥,hefei,HF,CN
HEK,黑河,heihe,HH,CN
HJJ,怀化,huaihua,HH,CN
HMI,哈密,hami,HM,CN
HTN,和田,hetian,HT,CN
HNY,衡阳,hengyang,HY,CN
HUZ,惠州,huizhou,HZ,CN
JDZ,景德镇,jingdezhen,JDZ,CN
JGS,井冈山,jinggangshan,JGS,CN
JMU,佳木斯,jiamusi,JMS,CN
JNG,济宁,jining,JN,CN
GYU,固原,guyuan,GY,CN
JGN,嘉峪关,jiayuguan,JYG,CN
JNZ,锦州,jinzhou,JZ,CN
KCA,库车,kuche,KC,CN
KRL,库尔勒,kuerle,KEL,CN
LCX,龙岩,longyan,LY,CN
LYA,洛阳,luoyang,LY,CN
LYG,连云港,lianyungang,LYG,CN
LZH,柳州,liuzhou,LZ,CN
LZO,泸州,luzhou,LZ,CN
LUM,德宏,dehong,DH,CN
MIG,绵阳,mianyang,MY,CN
NGB,宁波,ningbo,NB,CN
KHN,南昌,nanchang,NC,CN
NAO,南充,nanchong,NC,CN
NNG,南宁,nanning,NN,CN
NNY,南阳,nanyang,NY,CN
IQM,且末,qiemo,QM,CN
IQN,庆阳,qingyang,QY,CN
JUZ,衢州,quzhou,QZ,CN
LIA,梁平,liangping,LP,CN
SJW,石家庄,shijiazhuang,SJZ,CN
SYM,思茅,simao,SM,CN
SHS,沙市,shashi,SS,CN
SWA,揭阳,jieyang,JY,CN
SHE,沈阳,shenyang,SY,CN
TCG,塔城,tacheng,TC,CN
TNH,通化,tonghua,TH,CN
TGO,通辽,tongliao,TL,CN
THQ,天水,tianshui,TS,CN
TVS,唐山,tangshan,TS,CN
WEF,潍坊,weifang,WF,CN
WUH,武汉,wuhan,WH,CN
WEH,威海,weihai,WH,CN
HLH,乌兰浩特,wulanhaote,WLHT,CN
WXN,万州,wanzhou,WZ,CN
WNZ,温州,wenzhou,WZ,CN
WUZ,梧州,wuzhou,WZ,CN
XIC,西昌,xichang,XC,CN
XFN,襄阳,xiangyang,XY,CN
XIL,锡林浩特,xilinhaote,XLHT,CN
XUZ,徐州,xuzhou,XZ,CN
YBP,宜宾,yibin,YB,CN
YIH,宜昌,yichang,YC,CN
LDS,伊春,yichun,YC,CN
YIC,宜春,yichun,YC,CN
YNJ,延吉,yanji,YJ,CN
UYN,榆林,yulin,YL,CN
YIN,伊宁,yining,YN,CN
YNT,烟台,yantai,YT,CN
YIW,义乌,yiwu,YW,CN
ZHA,湛江,zhanjiang,ZJ,CN
ZGN,中山,zhongshan,ZS,CN
ZAT,昭通,zhaotong,ZT,CN
ZHY,中卫,zhongwei,ZW,CN
ZYI,遵义,zunyi,ZY,CN
CGO,郑州,zhengzhou,ZZ,CN
LYI,临沂,linyi,LY,CN
BPX,昌都,changdou,CD,CN
HYN,台州,taizhou,TZ,CN
LXI,林西,linxi,LX,CN
LHK,光化,guanghua,GH,CN
GHN,广汉,guanghan,GH,CN
LLF,永州,yongzhou,YZ,CN
NZH,满洲里,manzhouli,MZL,CN
PZI,攀枝花,panzhihua,PZH,CN
WUA,乌海,wuhai,WH,CN
ACX,兴义,xingyi,XY,CN
AEB,百色,baise,BS,CN
YNZ,盐城,yancheng,YC,CN
DCY,稻城,daocheng,DC,CN
TEN,铜仁,tongren,TR,CN
LNJ,临沧,lincang,LC,CN
SHZ,朔州,shuozhou,SZ,CN
WNH,文山,wenshan,WS,CN
LLB,荔波,libo,LB,CN
JJN,泉州,quanzhou,QZ,CN
TCZ,腾冲,tengchong,TC,CN
BPL,博乐,bole,BL,CN
MXZ,梅州,meizhou,MZ,CN
BFJ,毕节,bijie,BJ,CN
KJI,喀纳斯,kanasi,KNS,CN
NLT,那拉提,nalati,NLT,CN
HZH,黎平,liping,LP,CN
DSN,鄂尔多斯,eerduosi,EEDS,CN
KGT,康定,kangding,KD,CN
HUN,花莲,hualian,HL,CN
ERL,二连浩特,erlianhaote,ELHT,CN
YUS,玉树,yushu,YS,CN
LLV,吕梁,lvliang,LL,CN
YIE,阿尔山,aershan,AES,CN
JGD,加格达奇,jiagedaqi,JGDQ,CN
RLK,巴彦淖尔,bayannaoer,BYNE,CN
JUH,池州,chizhou,CZ,CN
JIQ,黔江,qianjiang,QJ,CN
NGQ,阿里,ali,AL,CN
HIA,淮安,huaian,HA,CN
EJN,额济纳旗,ejinaqi,EJNQ,CN
HPG,神农架,shennongjia,SNJ,CN
JIC,金昌,jinchang,JC,CN
ZQZ,张家口,zhangjiakou,ZJK,CN
HXD,德令哈,delingha,DLH,CN
RIZ,日照,RIZHAO,RZ,CN
UCB,乌兰察布,wulanchabu,WLCB,CN
WDS,十堰,shiyan,SY,CN
SQJ,三明,sanming,SM,CN
LPF,六盘水,liupanshui,LPS,CN
LFQ,临汾,linfen,LF,CN
SQD,上饶,shangrao,SR,CN
WUT,忻州,xinzhou,XZ,CN
KJH,凯里,kaili,KL,CN
QSZ,莎车,shache,SC,CN
YSQ,松原,songyuan,SY,CN
HUO,霍林郭勒,huolinguole,HLGL,CN
YYA,岳阳,yueyang,YY,
LNL,陇南,longnan,LN,
BZX,巴中,bazhong,BZ,
GXH,夏河,xiahe,XH,
XAI,,xinyang,XY,
HTT,花土沟,huatugou,HTG,
CDE,承德,chengde,CD,
FYN,富蕴,fuyun,FY,
RHT,阿拉善右旗,alashanyouqi,ALSYQ,CN
FYN,富蕴,fuyun,FY,
